label,category
ANN,Amazon Redshift：十年持续重塑实时数仓能力再升级
DBN,云原生数据库十周年派对，未来从此刻出发
DBM,Amazon Aurora Serverless v2下一代云原生无服务器关系型数据库上线
DGG,“车云协同，齐力智行”——亚马逊云科技赋能汽车行业加速创新
MDS,携手亚马逊云科技&帆软，淄博热力开启传统企业数字化转型新征程！
MDS,数据库开启究极进化模式
AIU,推荐系统系列精讲（第四讲）： 排序任务的样本工程
AIU,在充满不确定性的当下，每个人都在思考。作为探路者的#亚马逊云科技#，也在用re：MARS推动行业的变革。我们期待更多思想的碰撞，也诚挚邀请您加入#2022亚马逊云科技中国峰会#！快来戳链接报名吧：O网页链接阅读文章，了解更多关于云计算的前瞻观点与与干货分享！如果您还有更多想探讨的话题，欢迎在评论区分享[打call][打call] °当我们说起太空，你会想到什么？
DGG,🚀 上海首条自动驾驶测试专用道在今天启用了！自动驾驶时代真的要来了吗？💡 7月14日，亚马逊云科技宣布将围绕自动驾驶、车联网和软件定义汽车三大汽车行业数字化场景，全面赋能汽车行业的数字化转型。这将给未来的汽车行业带来怎样的变化呢？上知识点：✅ 强大算力和机器学习服务赋能自动驾驶：以自动驾驶数据湖为中心，构建起端到端的自动驾驶数据闭环；Amazon EC2 弹性计算服务，加快自动驾驶技术的研发和落地。✅ 全球资源和无服务器服务赋能车企全球布局弹性车联网：Amazon Lambda无服务器计算以及微服务，帮助车企构建现代化、无服务器的弹性敏捷的车联网架构，✅ 全方位布局数据湖、物联网、机器学习和人工智能、边缘计算等，实现软件定义汽车方案。✅ 携手客户和合作伙伴 ，加速汽车行业创新： 全球化智能科技公司 路特斯科技，全球领先的互联汽车服务提供商 WirelessCar（维瑞联行），全球智能安全软件及服务的引领者BlackBerry 。
AIU,#亚马逊云科技客户说# 我们携手OPPO小布助手为你呈现高性能机器学习推理芯片Amazon #EC2# Inf1与#OPPO# 万物互联的高智合作！快来探索如何通过 inf1 增强亿级 MAU 的 NLP 在线推理能力，和我们一起为算法和业务创新注入了强劲动力！
ANL,亚马逊云科技2022年6月新服务新功能回顾
AIU,国际权威研究机构Gartner发布2022年《云AI开发者服务魔力象限》。亚马逊云科技连续霸榜三年，在Gartner云AI开发者魔力象限中保持领导者地位。亚马逊云科技每年上新几千项服务，其中，AI相关服务高达250+。跟随#亚马逊云科技# 现代化数据战略方针，帮助企业早日迈入真正的智能化发展阶段。
DBN,"据IDC 预测，到2026年，中国关系型数据库软件市场规模将达到95.5亿美元。那么问题来了，如何跟「关系数据库」搞好""关系”？现在就是干货时刻！阅读文章，了解Amazon RDS 服务课程，助你搞定关系数据库，制胜云端，轻松提升职场竞争力[奋斗][奋斗]#2022亚马逊云科技中国峰会#也将在9月22日启幕，马上戳网页链接报名，一键体验会、展、赛一体的技术盛宴[打call][打call]"
ANS,一身技术无处安放？快来成为快来成为 User Group 深圳讲师！
DBN,Amazon RDS 凭什么在 Gartner 报告中脱颖而出？
AIS,推荐系统系列精讲（第二讲）：推荐系统概览（下）
AIU,AI 狂想 | 听说他们要在今天下午谈“擎”说 “AI” !
DGG,🌏 随着“宅经济”在全球范围内飞速发展，“Made in China”风靡海外，“剁手神话“放之四海皆准。<br/>📈2022年一季度，中国跨境电商领域共发起15起投资。看上去资本对跨境电商的热情依旧热力不减，其实，做跨境的人心里都清楚：“躺着都能赚钱”的时代已经过去。如何在“乱花丛中”找寻到风口？跨境电商又该如何乘风而上、取得成功？🔻 一张长图带你从资本的角度探秘跨境电商的未来，以及#亚马逊云科技# 助力跨境电商布局下一个增长点的最佳实践案例。📣文末还有超高价值福利，千万不要错过~
GCI,万物互联时代，原来物联网还能这样玩儿？
GCI,📷携手亚马逊云科技，凝聚“产品力”，猿人创新的“海外出圈”之路🚴‍♀️猿人创新诞生于跨境电商风起的2016年前后，主营影像类和智能家居产品，比如运动相机、车载相机和安防摄像头产品等。背靠深圳丰富的供应链优势，猿人创新得以在海外市场打出一片天地。🔎而猿人创新出海伊始就基于亚马逊电商平台，随着合作的深入，双方逐渐达到深度绑定。亚马逊云科技深耕海外市场，高效助力猿人创新达成“因地制宜”的产品目标。🌍正是搭载在亚马逊云科技上全球广泛覆盖的基础设施，得以使猿人创新快速实现全球部署，让海外用户能够快速访问。同时，其有效得保障了全球的数据安全合规。亚马逊云科技针对网络安全事件管理解决方案等合规服务是的一项重要服务，这不仅帮助提升云上安全，还能进一步完善企业合规管理。让用户让容易对品牌产生信任。👇看猿人创新携手亚马逊云科技，打出本土化+产品品质的出海组合拳
